line,character,dialogue,Russian,Hindi
58,THREEPIO,"Artoo, don't leave me! Ohhh!","Арту, не оставляй меня!Ооо!","Artoo, मुझे मत छोड़ो!ओह्ह!"
59,NINEDENINE,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely.","Вы злющий малыш, но вы скоро научитесь некоторому уважению.Мне нужно для вас на парусной барже Мастера.И я думаю, что вы хорошо подойдете.","आप एक छोटे से छोटे हैं, लेकिन आप जल्द ही कुछ सम्मान सीखेंगे।मुझे मास्टर के पाल के बजरे पर आपके लिए ज़रूरत है।और मुझे लगता है कि आप अच्छी तरह से फिट होंगे।"
60,JABBA,Da Eitha!,Хороший!,अच्छा!
61,OOLA,Na Chuba negatorie Na! Na! Natoota...,На слушании негатора!На!Натота ...,के श्रवण नेगेटर पर!पर!नटोटिया ...
62,JABBA,Boscka!,Боска!,बोस्का!
63,BOUSHH,I have come for the bounty on this Wookiee.,Я приехал за наградой на этой Вуки.,मैं इस wookiee पर इनाम के लिए आया हूं।
64,THREEPIO,"Oh, no! Chewbacca!","О, нет!Чубакка!",अरे नहीं!Chewbacca!
65,JABBA,At last we have the mighty Chewbacca.,Наконец -то у нас есть могущественная Чубакка.,अंत में हमारे पास शक्तिशाली Chewbacca है।
66,THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!","О, да, да, я здесь, твоя поклонение.Э -э ... да!","ओह, उह, हाँ, उह, मैं यहाँ हूँ, आपकी पूजा।उह ... हाँ!"
67,THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,"Ой.Знаменитые Джабба, которые вы приветствуете, и с радостью заплатят вам вознаграждение в двадцать пять тысяч.",ओह।शानदार JABBA बोली आपके स्वागत में है और खुशी से आपको पच्चीस हजार का इनाम देगा।
68,BOUSHH,I want fifty thousand. No less.,Я хочу пятьдесят тысяч.Не менее.,मुझे पचास हजार चाहिए।कम नहीं।
69,THREEPIO,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand.","О, о ... но что, что я сказал?Мо могучий Джабба спрашивает, почему он должен заплатить пятьдесят тысяч.","उह, ओह ... लेकिन क्या, मैंने क्या कहा?उह, पराक्रमी जब्बा पूछता है कि उसे पचास हजार क्यों भुगतान करना होगा।"
70,THREEPIO,Because he's holding a thermal detonator.,Потому что он держит тепловой детонатор.,क्योंकि वह एक थर्मल डेटोनेटर पकड़े हुए है।
71,JABBA,This bounty hunter is my kind of scum. Fearless and inventive.,Этот охотник за головами - моя мрачная.Бесстрашный и изобретательный.,यह इनाम शिकारी मेरी तरह का मैल है।निडर और आविष्कारशील।
72,THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.,Джабба предлагает сумму тридцать пять.И я предлагаю вам принять это.,JABBA पैंतीस का योग प्रदान करता है।और मेरा सुझाव है कि आप इसे लें।
73,BOUSHH,Zeebuss.,"То, что",Toess।
74,THREEPIO,He agrees!,Он согласен!,वह इससे सहमत हैं!
75,BOUSHH,Just relax for a moment. You're free of the carbonite.,Просто расслабься на мгновение.Вы свободны от карбонита.,बस एक पल के लिए आराम करें।आप कार्बोनेट से मुक्त हैं।
76,BOUSHH,Shhh. You have hibernation sickness.,Шсх.У вас болезнь спячки.,Shhh।आपको हाइबरनेशन सिकनेस है।
77,HAN,I can't see.,Я не вижу.,मैं नहीं देख सकता।
78,BOUSHH,You eyesight will return in time.,Вы зрение вернется вовремя.,आप आंखों की रोशनी समय पर लौट आएंगे।
79,HAN,Where am I?,Где я?,मैं कहाँ हूँ?
80,BOUSHH,Jabba's palace.,Джабба дворец.,JABBA का महल।
81,HAN,Who are you?,Кто ты?,आप कौन हैं?
82,LEIA,Someone who loves you.,"Тот, кто любит тебя.",कोई जो तुम्हे प्यार करता है।
83,HAN,Leia!,Леа!,लीया!
84,LEIA,I gotta get you out of here.,Я должен вытащить тебя отсюда.,मैं तुम्हें यहाँ से बाहर निकलता हूँ।
85,HAN,What's that? I know that laugh.,Что это такое?Я знаю это смех.,वह क्या है?मुझे पता है कि हंसी।
86,HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault.","Эй, Джабба.Слушай, Джабба, я просто по дороге заплатил тебе, но я немного отвлекся.Это не моя вина.","अरे, जब्बा।देखो, Jabba, मैं तुम्हें वापस भुगतान करने के लिए अपने रास्ते पर था, लेकिन मुझे थोड़ा सा पक्षपात हुआ।यह मेरी गलती नहीं है।"
87,JABBA,"It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder.","Слишком поздно для этого, соло.Возможно, вы были хорошим контрабандистом, но теперь вы Банта Фоддер.","इसके लिए बहुत देर हो चुकी है, एकल।आप एक अच्छी तस्कर हो सकते हैं, लेकिन अब आप बंचा चारा हैं।"
88,HAN,Look...,Смотреть...,देखना...
89,JABBA,Take him away!,Забери его!,उसको ले जाइये!
90,HAN,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!,Джабба ... Я заплачу тебе тройной!Вы выбрасываете здесь целое состояние.Не будь дураком!,JABBA ... मैं तुम्हें ट्रिपल भुगतान करूँगा!आप यहाँ एक भाग्य फेंक रहे हैं।मूर्ख मत बनो!
91,JABBA,Bring her to me.,Принеси ее ко мне.,उसे मेरे पास ले आओ।
92,LEIA,We have powerful friends. You're gonna regret this...,У нас есть могущественные друзья.Ты сожалеешь об этом ...,हमारे शक्तिशाली दोस्त हैं।आप इस पर पछतावा कर रहे हैं ...
93,JABBA,I'm sure.,Я уверен.,मुझे यकीन है।
94,LEIA,Ugh!,Фу!,उघ!
95,THREEPIO,"Ohhh, I can't bear to watch.","Оооо, я не могу смотреть.","ओह, मैं देखने के लिए सहन नहीं कर सकता।"
96,HAN,"Chewie? Chewie, is that you?","Чуви?Чуви, это ты?","Chewie?Chewie, क्या आप?"
97,HAN,Ah! Chew--Chewie!,Ах!Чу-Чеви!,आह!CHEW-CHEWIE!
98,HAN,"Wait. I can't see, pal. What's goin' on?","Ждать.Я не вижу, приятель.Что происходит?","इंतज़ार।मैं नहीं देख सकता, पाल।क्या चल रहा है?"
99,HAN,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody.","Люк?Люк сумасшедший.Он даже не может позаботиться о себе, гораздо меньше спасения кого -либо.","ल्यूक?ल्यूक का पागल।वह खुद की देखभाल भी नहीं कर सकता, किसी को भी बहुत कम बचाव।"
100,HAN,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur.","А ... рыцарь -джедай?Я-я на некоторое время выхожу из этого, все получают заблуждения величия.","ए ... जेडी नाइट?मैं-मैं इससे थोड़ी देर के लिए बाहर हूँ, हर किसी को भव्यता का भ्रम मिलता है।"
101,HAN,"I'm all right, pal. I'm all right.","Я в порядке, приятель.Я в порядке.","मैं सब ठीक हूँ, पाल।मैं ठीक हूँ।"
102,LUKE,I must speak with Jabba.,Я должен поговорить с Джаббой.,मुझे JABBA के साथ बात करनी चाहिए।
103,LUKE,You will take me to Jabba now!,Вы отправите меня в Джаббу сейчас!,अब आप मुझे JABBA ले जाएंगे!
104,LUKE,You serve your master well.,Вы хорошо обслуживаете своего хозяина.,आप अपने गुरु की अच्छी सेवा करते हैं।
105,LUKE,And you will be rewarded.,И вы будете вознаграждены.,और आपको पुरस्कृत किया जाएगा।
106,THREEPIO,At last! Master Luke's come to rescue me.,"Наконец!Мастер Люк приходит, чтобы спасти меня.",आखिरकार!मास्टर ल्यूक मुझे बचाने के लिए आते हैं।
107,BIB,Master.,Владелец.,मालिक।
108,BIB,"...Luke Skywalker, Jedi Knight.","... Люк Скайуокер, Джедай Найт.","... ल्यूक स्काईवॉकर, जेडी नाइट।"
109,JABBA,I told you not to admit him.,Я сказал тебе не признать его.,मैंने तुमसे कहा था कि उसे स्वीकार न करें।
110,LUKE,I must be allowed to speak.,Мне должно быть разрешено говорить.,मुझे बोलने की अनुमति दी जानी चाहिए।
111,BIB,He must be allowed to speak.,Ему должно быть разрешено говорить.,उसे बोलने की अनुमति दी जानी चाहिए।
112,JABBA,You weak-minded fool! He's using an old Jedi mind trick.,Вы слабые дураки!Он использует старый трюк с разумом джедаев.,आप कमजोर दिमाग वाले मूर्ख!वह एक पुराने जेडी माइंड ट्रिक का उपयोग कर रहा है।
113,LUKE,You will bring Captain Solo and the Wookiee to me.,Вы принесете мне капитана Соло и Вуки.,आप कैप्टन सोलो और वूकी को मेरे पास लाएंगे।
114,JABBA,"Your mind powers will not work on me, boy.","Ваш разум не будет работать на меня, мальчик.","आपकी मन शक्तियां मुझ पर काम नहीं करेगी, लड़का।"
115,LUKE,"Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers.","Тем не менее, я беру капитана Соло и его друзей.Вы можете либо получить прибыль этим ... или быть уничтоженным!Это твой выбор.Но я предупреждаю вас, чтобы не недооценивать свои силы.","फिर भी, मैं कैप्टन सोलो और उसके दोस्तों को ले जा रहा हूं।आप या तो इसके द्वारा लाभ कर सकते हैं ... या नष्ट हो सकते हैं!यह तुम्हारी पसंद है।लेकिन मैं आपको चेतावनी देता हूं कि आप अपनी शक्तियों को कम न समझें।"
116,THREEPIO,"Master Luke, you're standing on...","Мастер Люк, ты стоишь ...","मास्टर ल्यूक, आप खड़े हैं ..."
117,JABBA,"There will be no bargain, young Jedi. I shall enjoy watching you die.","Там не будет сделки, молодой джедай.Мне понравится смотреть, как ты умрешь.","कोई सौदा नहीं होगा, युवा जेडी।मुझे आपको मरते हुए देखने का आनंद मिलेगा।"
118,JABBA,Bascka!,Баска!,Bascka!
119,THREEPIO,"Oh, no! The Rancor!","О, нет!Транко!",अरे नहीं!रैंसर!
120,JABBA,Bring me Solo and the Wookiee. They will all suffer for this outrage.,Принеси мне соло и вуки.Все они будут страдать за это возмущение.,मुझे सोलो और वूकी लाओ।वे सभी इस नाराजगी के लिए पीड़ित होंगे।
121,LUKE,Han!,Он!,वह!
122,HAN,Luke!,Люк!,ल्यूक!
123,LUKE,Are you all right?,С тобой все впорядке?,तुम ठीक हो?
124,HAN,"Fine. Together again, huh?","Отлично.Вместе снова, а?","अच्छा।फिर से, हुह?"
125,LUKE,Wouldn't miss it.,Не пропустил бы это.,इसे याद नहीं होगा।
126,HAN,How are we doing?,Как у нас дела?,हम कैसे हैं?
127,LUKE,The same as always.,"Так же, как всегда.",हमेशा की तरह ही।
128,HAN,"That bad, huh? Where's Leia?","Это плохо, а?Где Лея?","वह बुरा, हुह?Leia कहाँ है?"
129,LEIA,I'm here.,Я здесь.,मैं यहाँ हूँ।
130,THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately.","О, Боже.Его высокая возвышенность, Великая Джабба Хатт, постановила, что вас должны немедленно прекратить.","ओ प्यारे।उनकी उच्च अतिरंजितता, महान JABBA HUTT, ने निर्णय लिया है कि आपको तुरंत समाप्त कर दिया जाना है।"
131,HAN,"Good, I hate long waits.","Хорошо, я ненавижу долго ждать.","अच्छा, मुझे लंबे समय से नफरत है।"
132,THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc.","Поэтому вас отвезут в Дюн-море и бросить в яму Каркуна, места гнездования всемогущего Сарлака.","इसलिए आपको टिब्बा सागर में ले जाया जाएगा और कार्कून के गड्ढे में डाल दिया जाएगा, जो सभी शक्तिशाली सरलाक के घोंसले के शिकार स्थान पर है।"
133,HAN,Doesn't sound so bad.,Не звучит так плохо.,इतना बुरा नहीं लगता।
134,THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years.","В его животе вы найдете новое определение боли и страданий, так как вы медленно перевариваются за тысячу лет.","उनके पेट में, आपको दर्द और पीड़ा की एक नई परिभाषा मिलेगी, क्योंकि आप धीरे -धीरे एक हजार साल से अधिक पचते हैं।"
135,HAN,"On second thought, let's pass on that, huh?","На втором месте давайте передадим это, а?","दूसरे विचार पर, चलो उस पर गुजरते हैं, हुह?"
136,LUKE,"You should have bargained, Jabba. That's the last mistake you'll ever make.","Вы должны были договориться, Джабба.Это последняя ошибка, которую вы когда -либо совершали.","आपको सौदेबाजी करनी चाहिए, जब्बा।यह आखिरी गलती है जो आप कभी भी करेंगे।"
137,HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur.","Я думаю, что мои глаза становятся лучше.Вместо большого темного размытия я вижу большой светлый размытие.","मुझे लगता है कि मेरी आँखें बेहतर हो रही हैं।एक बड़े अंधेरे धब्बा के बजाय, मुझे एक बड़ा प्रकाश धब्बा दिखाई देता है।"
138,LUKE,"There's nothing to see. I used to live here, you know.","Нечего видеть.Знаете, я жил здесь.","देखने के लिए कुछ भी नहीं है।मैं यहां रहता था, आप जानते हैं।"
139,HAN,"You're gonna die here, you know. Convenient.","Ты умрешь здесь, ты знаешь.Удобный.","तुम यहाँ मरने वाले हो, तुम्हें पता है।सुविधाजनक।"
140,LUKE,Just stick close to Chewie and Lando. I've taken care of everything.,Просто придерживайтесь близко к Чуи и Ландо.Я обо всем позаботился.,बस चेवी और लैंडो के करीब चिपके रहें।मैंने हर चीज का ध्यान रखा है।
141,HAN,Oh... great!,"О, круто!",ओह अदभुत!
142,JABBA,Soon you will learn to appreciate me.,Скоро ты научишься мне ценить.,जल्द ही आप मेरी सराहना करना सीखेंगे।
143,THREEPIO,"Oh, I'm terribly sor... Artoo! What are you doing here?","О, я ужасно сор ... Арту!Что ты здесь делаешь?","ओह, मैं बहुत सोर ... आर्टू!आप यहां पर क्या कर रहे हैं?"
144,THREEPIO,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!","Ну, я вижу, что вы подаете напитки, но это место опасно.Они собираются казнить Мастера Люка, и, если мы не осторожны, нас тоже!","खैर, मैं देख सकता हूं कि आप पेय परोस रहे हैं, लेकिन यह जगह खतरनाक है।वे मास्टर ल्यूक को निष्पादित करने जा रहे हैं और, अगर हम सावधान नहीं हैं, तो हमें भी!"
145,THREEPIO,Hmm.  I wish I had your confidence.,"Хм.Я бы хотел, чтобы у меня была твоя уверенность.",हम्म।काश मुझे आपका आत्मविश्वास होता।
146,THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas.","Жертвы Всемогущего Сарлакка: Его Превосходительство надеется, что вы умрете с честью.Но если кто -нибудь из вас захочет просить пощады, великая джабба, которую Хатт теперь послушает ваши просьбы.","सर्वशक्तिमान सरलाक के शिकार: महामहिम को उम्मीद है कि आप सम्मानपूर्वक मर जाएंगे।लेकिन क्या आप में से किसी को दया के लिए भीख माँगना चाहिए, महान जब्बा हुत अब आपकी दलीलों को सुनेंगे।"
147,HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?","Трипио, вы говорите, что слизистый кусок ... придиранный к черве грязь, он не получит от нас такого удовольствия.Верно?","थ्रीपियो, आप बताते हैं कि of of of… Worm-rided philth का टुकड़ा उसे हमसे ऐसा कोई खुशी नहीं मिलेगी।सही?"
148,LUKE,Jabba! This is your last chance. Free us or die.,Джабба!Это ваш последний шанс.Освободить нас или умереть.,JABBA!यह आपका अंतिम अवसर है।हमें मुक्त या मरो।
149,JABBA,Move him into position.,Переместить его в положение.,उसे स्थिति में ले जाएं।
150,JABBA,Put him in.,Поместите его.,उसे अंदर रखो।
151,LUKE,"Easy, Chewie.","Легко, Чуи.","आसान, चेवी।"
152,LANDO,Whoa! Whoa! Help!,Уго!Уго!Помощь!,वाह!वाह!मदद करना!
153,HAN,"Chewie, you okay? Where is he?","Чуви, ты в порядке?Где он?","चेवी, तुम ठीक हो?कहाँ है वह?"
154,HAN,"I'm okay, pal.","Я в порядке, приятель.","मैं ठीक हूँ, पाल।"
155,LANDO,Han! Chewie?,Хан!Чуви?,हान!Chewie?
156,HAN,Lando!,Ландо!,लैंडो!
157,HAN,Boba Fett?! Boba Fett?! Where?,Боба Фетт?!Боба Фетт?!Где?,बॉबा फ़ेट?!बॉबा फ़ेट?!कहाँ?
158,HAN,"Lando, grab it!","Ландо, возьми!","लैंडो, इसे पकड़ो!"
159,LANDO,Lower it!,Снись!,इसे कम!
160,HAN,I'm trying!,Я пытаюсь!,मैं प्रयासरत हूं!
161,HAN,"Whoa! Whoa! Grab me, Chewie! I'm slipping.","Уго!Уго!Хватай меня, Чуи!Я проскальзываю.","वाह!वाह!मुझे पकड़ो, चेवी!मैं फिसल रहा हूं।"
162,HAN,Grab it! L--Lando. Grab!,Хватай!L--Ландо.Схватить!,इसे ले लो!एल-लैंडो।झपटना!
163,HAN,Grab it! Almost... You almost got it!,Хватай!Почти ... ты почти получил это!,इसे ले लो!लगभग ... आप लगभग मिल गए!
164,LANDO,Hold it! Whoa!,Погоди!Уго!,इसे पकड़ो!वाह!
165,HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie.","Аккуратно сейчас.Все ... хорошо.Теперь легко, легко.Держи меня, Чуви.","धीरे से अब।सब ... सब ठीक है।अब आसान, आसान।मुझे पकड़ो, चेवी।"
166,HAN,"Chewie! Chewie, give me the gun. Don't move, Lando.","Чуи!Чуви, дай мне пистолет.Не двигайся, Ландо.","Chewie!चेवी, मुझे बंदूक दो।स्थानांतरित मत करो, लैंडो।"
167,LANDO,"No, wait! I thought you were blind!","Нет, подождите!Я думал, ты слеп!",नहीं रुको!मुझे लगा कि तुम अंधे थे!
168,HAN,It's all right. Trust me. Don't move.,Все в порядке.Поверьте мне.Не двигайся.,ठीक ठाक है।मुझ पर भरोसा करें।स्थानांतरित मत करो।
169,LANDO,All right! A little higher! Just a little higher!,Все в порядке!Немного выше!Чуть выше!,ठीक है!थोड़ा अधिक!बस थोड़ा अधिक!
170,HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!","Чуви, подтягивай нас!Ну давай же!Хорошо ... вверх, Чуи, вверх!","Chewie, हमें ऊपर खींचो!चलो भी!ठीक है ... ऊपर, चेवी, ऊपर!"
171,LEIA,Come on. We gotta get out of here quick.,Ну давай же.Мы должны быстро выйти отсюда.,चलो भी।हम जल्दी से यहाँ से निकल जाते हैं।
172,THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!","Не мои глаза!АРТУ, ПОМОГИТЕ!Быстро, Арту.Ой!Ооо!Ты зверь!","मेरी आँखें नहीं!Artoo, मदद!जल्दी, आर्टू।ओह!ओह्ह!तुम जानवर हो!"
173,LUKE,Get the gun! Point it at the deck!,Получите пистолет!Укажите это на палубу!,बंदूक जाओ!इसे डेक पर इंगित करें!
174,LUKE,Point it at the deck!,Укажите это на палубу!,इसे डेक पर इंगित करें!
175,THREEPIO,"Artoo, where are we going? I couldn't possibly jump.","Арту, куда мы идем?Я не мог прыгнуть.","Artoo, हम कहाँ जा रहे हैं?मैं संभवतः कूद नहीं सकता था।"
176,LUKE,Come on!,Ну давай же!,चलो भी!
177,LUKE,Let's go! And don't forget the droids.,Пойдем!И не забудьте дроидов.,चल दर!और droids मत भूलना।
178,LANDO,We're on our way.,Мы в пути.,हम हमारे रास्ते पर हैं।
179,HAN,I don't know. All I can see is a lot of blowing sand!,"Я не знаю.Все, что я могу видеть, это много дубильного песка!",मुझें नहीं पता।सभी मैं देख सकता हूं कि बहुत सारी रेत उड़ा रही है!
180,LEIA,That's all any of us can see.,Это все из нас может увидеть.,हम में से कोई भी देख सकता है।
181,HAN,Then I guess I'm getting better.,"Тогда я думаю, мне станет лучше.",तब मुझे लगता है कि मैं बेहतर हो रहा हूं।
182,HAN,"I've got to hand it to you, kid, you were pretty good out there.","Я должен передать вам это, малыш, ты был довольно хорош там.","मैं इसे आपको सौंपने के लिए मिला हूं, बच्चे, आप वहाँ बहुत अच्छे थे।"
183,LUKE,I had a lot of help. Think nothing of it.,У меня была большая помощь.Не думай об этом.,मुझे बहुत मदद मिली।इस विषय में कुछ मत सोचो।
184,HAN,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!","Нет, я много думаю об этом.Это замораживание углерода было самой близкой к мертвой.И это был не просто спать.Это было много широко бодрствования!","नहीं, मैं इसके बारे में बहुत सोच रहा हूं।वह कार्बन फ्रीज मृत करने के लिए सबसे करीबी चीज थी।और यह सिर्फ नींद नहीं थी '।यह एक बड़ी चौड़ी जागृत कुछ भी नहीं था!"
185,LUKE,I'll see you back at the fleet.,Увидимся на флоте.,मैं तुम्हें बेड़े में वापस देखूंगा।
186,HAN,Why don't you leave that crate and come with us?,Почему бы тебе не покинуть этот ящик и не пойти с нами?,आप उस टोकरे को क्यों नहीं छोड़ते और हमारे साथ आते हैं?
187,LUKE,I have a promise I have to keep first... to an old friend.,"У меня есть обещание, что я должен сохранить первым ... для старого друга.",मेरे पास एक वादा है कि मुझे पहले रखना है ... एक पुराने दोस्त के लिए।
188,HAN,"Guess I owe you some thanks, too, Lando.","Думаю, я тоже должен вам спасибо, Ландо.","मुझे लगता है कि मैं आपको कुछ धन्यवाद, भी, लैंडो।"
189,LANDO,"Figured if I left you frozen like that you'd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later.","Подумал, что если я оставлю тебя замороженным, ты просто дал мне неудачу до конца моей жизни, так что я мог бы также получить тебя нельзя рано или поздно.","मुझे लगा कि अगर मैंने आपको इस तरह से जमे हुए हैं तो आप मुझे अपने जीवन के बाकी हिस्सों को बुरी किस्मत देंगे, इसलिए मैं आपको जल्द या बाद में अप्राप्य कर सकता हूं।"
190,LEIA,He means \You're,Он имеет в виду \ ты,उसका मतलब है \ _ आप
191,LANDO,"Come on, let's get off this miserable dust ball.","Давай, давай сойдим этот жалкий пылевой шар.","चलो, चलो इस दयनीय धूल गेंद से दूर हो जाओ।"
192,LUKE,I'll meet you back at the fleet.,Я встречу тебя обратно в флот.,मैं तुम्हें बेड़े में वापस मिलूंगा।
193,LEIA,Hurry. The Alliance should be assembled by now.,Торопиться.Альянс должен быть собран к настоящему времени.,जल्दी करो।गठबंधन को अब तक इकट्ठा किया जाना चाहिए।
194,LUKE,I will.,Я буду.,मैं करूँगा।
195,HAN,"Hey, Luke, thanks. Thanks for comin' after me. Now I owe you one.","Эй, Люк, спасибо.Спасибо за то, что я задумался.Теперь я должен тебе один.","अरे, ल्यूक, धन्यवाद।मेरे बाद कॉमिन के लिए धन्यवाद।अब मैं तुम्हें एक का भुगतान करता हूं।"
196,LUKE,"That's right, Artoo. We're going to the  Dagobah system. I have a promise to keep...  to an old friend.","Это верно, Арту.Мы идем в систему Дагоба.У меня есть обещание сохранить ... старому другу.","यह सही है, आर्टू।हम Dagobah प्रणाली में जा रहे हैं।मेरे पास एक पुराने दोस्त को रखने का वादा है।"
197,EMPEROR,"Rise, my friend.","Встать, мой друг.","उठो, मेरे दोस्त।"
198,VADER,The Death Star will be completed on schedule.,Звезда Смерти будет завершена по графику.,डेथ स्टार को शेड्यूल पर पूरा किया जाएगा।
199,EMPEROR,"You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.","Вы преуспели, лорд Вейдер.И теперь я чувствую, что вы хотите продолжить поиск молодого Скайуокера.","आपने अच्छा किया है, लॉर्ड वाडर।और अब मुझे लगता है कि आप युवा स्काईवॉकर के लिए अपनी खोज जारी रखना चाहते हैं।"
200,VADER,"Yes, my Master.","Да, мой хозяин.","हाँ, मेरे गुरु।"
201,EMPEROR,"Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force.","Терпение, мой друг.Со временем он будет искать вас.И когда он это сделает, вы должны принести его до меня.Он стал сильным.Только вместе мы можем повернуть его к темной стороне силы.","धैर्य, मेरे दोस्त।समय में वह आपको तलाश करेगा।और जब वह करता है, तो आपको उसे मेरे सामने लाना होगा।वह मजबूत हो गया है।केवल एक साथ हम उसे बल के अंधेरे पक्ष में बदल सकते हैं।"
202,VADER,As you wish.,Как хочешь.,जैसी आपकी इच्छा।
203,EMPEROR,Everything is proceeding as I have foreseen.,"Все происходит, как я предвидел.",सब कुछ आगे बढ़ रहा है क्योंकि मेरे पास है।
204,YODA,Hmm. That face you make. Look I so old to young eyes?,"Хм.Это лицо, которое ты делаешь.Смотри, я такой старый для молодых глаз?",हम्म।वह चेहरा जो आप बनाते हैं।देखो मैं युवा आँखों के लिए बहुत बूढ़ा हो?
205,LUKE,No... of course not.,"Нет, конечно нет.",नही बिल्कुल नही।
206,YODA,"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?","Я делаю, да, я делаю!Болен, я стал.Старый и слабый.Когда вы достигнете девятисот лет, выглядите так же хорошо, что вы не будете.Хм?","मैं करता हूँ, हाँ, मैं करता हूँ!बीमार मैं बन गया हूँपुराना और कमजोर।जब नौ सौ साल की उम्र में आप पहुंचते हैं, तो आप उतने ही अच्छे लगते हैं जो आप नहीं करेंगे।हम्म?"
207,YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have.","Скоро я отдохну.Да, навсегда сон.Заработал это, у меня есть.","जल्द ही मैं आराम करूंगा।हाँ, हमेशा के लिए सो।इसे अर्जित किया, मेरे पास है।"
208,LUKE,"Master Yoda, you can't die.","Мастер Йода, ты не можешь умереть.","मास्टर योदा, आप मर नहीं सकते।"
209,YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,"Я сильна с силой ... но не так сильна!Сумерки на меня, и вскоре ночь должна упасть.Это путь вещей ... Путь силы.",मजबूत मैं बल के साथ हूँ ... लेकिन यह मजबूत नहीं है!गोधूलि मुझ पर है और जल्द ही रात गिरना चाहिए।यह चीजों का तरीका है ... बल का तरीका।
210,LUKE,But I need your help. I've come back to complete the training.,"Но мне нужна твоя помощь.Я вернулся, чтобы завершить обучение.",लेकिन मुझे आपकी मदद की जरूरत है।मैं प्रशिक्षण पूरा करने के लिए वापस आया हूं।
211,YODA,No more training do you require. Already know you that which you need.,"Вам больше нет тренировок.Уже знайте вам то, что вам нужно.",कोई और प्रशिक्षण की आवश्यकता नहीं है।पहले से ही आपको पता है कि आपको जो चाहिए।
212,LUKE,Then I am a Jedi?,Тогда я джедай?,फिर मैं एक जेडी हूँ?
213,YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.","Ооооооооооооооооооооооооооооооооооооооооооооооооооооооооооооооо.Еще нет.Одна вещь остается: Вейдер.Вы должны противостоять Вейдеру.Тогда, только тогда, ты будешь.И противостоять ему, ты будешь.","ओह्ह।अभी तक नहीं।एक बात बनी हुई है: वाडर।आपको वाडर का सामना करना होगा।फिर, तभी, एक जेडी आप होंगे।और उसका सामना आप करेंगे।"
214,LUKE,Master Yoda... is Darth Vader my father?,Мастер Йода ... Дарт Вейдер мой отец?,मास्टर योदा ... क्या डार्थ वाडर मेरे पिता हैं?
215,YODA,Mmm... rest I need. Yes... rest.,Ммм ... отдых мне нужен.Да ... отдых.,मम्म ... आराम की जरूरत है।हाँ ... आराम करो।
216,LUKE,"Yoda, I must know.","Йода, я должен знать.","योदा, मुझे पता होना चाहिए।"
217,YODA,Your father he is.,"Твой отец, он есть.",तुम्हारे पिता वह है।
218,YODA,"Told you, did he?","Сказал тебе, не так ли?","आपको बताया, क्या उसने?"
219,LUKE,Yes.,Да.,हाँ।
220,YODA,"Unexpected this is, and unfortunate..","Это неожиданно, и к сожалению ..","अप्रत्याशित यह है, और दुर्भाग्यपूर्ण .."
221,LUKE,Unfortunate that I know the truth?,"К сожалению, я знаю правду?",दुर्भाग्यपूर्ण है कि मैं सच्चाई जानता हूं?
